,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
2026272,GSM,334,3,21015,10221,0,-98.184912,19.132004000000002,1245,7,1,1286430897,1344881497,0
2026273,GSM,334,3,21001,30163,0,-98.28585600000001,19.155958,14417,25,1,1286430915,1341935487,0
2026274,GSM,334,3,26011,33902,0,-110.81977844238001,30.818710327148,1000,1,1,1286411414,1286411414,0
2026276,GSM,334,3,26007,32621,0,-110.186252,31.031126,8238,3,1,1286436314,1287277720,0
2026278,GSM,334,3,26006,22271,0,-109.72114562988001,31.281509399414002,1000,1,1,1286418915,1286418915,0
2026279,GSM,334,3,26006,22543,0,-109.62913513184,31.302108764648,1000,1,1,1286419215,1286419215,0
2026352,GSM,334,3,30000,31233,0,-96.152517,19.139042,5373,8,1,1286464502,1306167315,0
2026356,GSM,334,3,30000,31721,0,-96.133534,19.199092,1000,61,1,1286469602,1483639616,0
2026358,GSM,334,3,30000,31723,0,-96.132699,19.19695,1000,41,1,1286471104,1483639616,0
2026382,GSM,334,3,9008,31611,0,-99.180605,19.430968,1000,93,1,1286477708,1477167474,0
2026383,GSM,334,3,9008,7193,0,-99.185006,19.432277,1000,115,1,1286478008,1474325879,0
2026395,GSM,334,3,2010,31003,0,-115.43838799999999,32.626886,5040,87,1,1286484150,1494818104,0
2026409,GSM,334,3,9012,35831,0,-99.022729,19.636045000000003,1402,63,1,1286491029,1350031942,0
2026410,GSM,334,3,9019,7132,0,-99.017887,19.666763,2864,40,1,1286491629,1345749701,0
2026411,GSM,334,3,9019,1392,0,-99.001308,19.668295999999998,15943,492,1,1286491929,1478205011,0
2026443,GSM,334,3,9008,1761,0,-99.19410400000001,19.43417,1000,452,1,1286494509,1472936324,0
2026444,GSM,334,3,9019,38752,0,-99.012222,19.681335,2380,182,1,1286494629,1427216108,0
2026445,GSM,334,3,9010,34511,0,-99.235401,19.392572,4506,726,1,1286495709,1477310545,0
2026454,GSM,334,3,9001,31222,0,-99.25560300000001,19.376629,1486,299,1,1286496009,1485903021,0
2026496,GSM,334,3,9010,33941,0,-99.21385,19.429803,1000,134,1,1286504693,1477167474,0
2026746,GSM,334,3,2010,31281,0,-115.35383600000002,32.596024,1346,5,1,1286561616,1456941533,0
2026748,GSM,334,3,2010,23051,0,-115.359449,32.577725,1187,16,1,1286561915,1433872662,0
2027124,GSM,334,50,20029,6452,0,-99.809647,20.224686,1000,3,1,1286788368,1295916895,0
2027125,GSM,334,50,20029,6451,0,-99.858169555664,20.26496887207,1000,1,1,1286768789,1286768789,0
2027128,GSM,334,3,16004,37142,0,-102.020426,20.354173,4262,69,1,1286794232,1336046872,0
2027130,GSM,334,3,22000,31012,0,-100.52269,20.530701,3613,18,1,1286797295,1485771160,0
2027245,GSM,334,20,2531,13859,0,-102.39738464355,20.275955200195,1000,1,1,1286787032,1286787032,0
2027249,GSM,334,3,16000,35581,0,-101.163938,19.676257999999997,22824,57,1,1286807190,1494078553,0
2027252,GSM,334,3,19012,5032,0,-100.306721,25.75676,1000,8,1,1286807708,1287404537,0
2027254,GSM,334,3,19012,5036,0,-100.30669499999999,25.756885,1000,33,1,1286808009,1288178115,0
2027255,GSM,334,3,16000,35863,0,-101.22963,19.713478,1021,24,1,1286808692,1459790381,0
2027256,GSM,334,3,19010,30322,0,-100.306686,25.756794,1000,40,1,1286810708,1288189216,0
2027257,GSM,334,3,19014,1033,0,-100.31959533691,25.708694458007997,1000,1,1,1286793010,1286793010,0
2027258,GSM,334,3,19014,1043,0,-100.32296600000001,25.700829000000002,1000,11,1,1286813109,1336059413,0
2027260,GSM,334,3,19014,30843,0,-100.32096899999999,25.685806,1000,3,1,1286795490,1286795490,0
2027262,GSM,334,3,19013,22133,0,-100.366287,25.674362,1000,2,1,1286816109,1288175122,0
2027263,GSM,334,3,9019,39081,0,-99.11946400000001,19.63958,1000,33,1,1286816264,1318511570,0
2027264,GSM,334,3,19013,3043,0,-100.37178039551,25.674362182617003,1000,5,1,1286798109,1286798109,0
2027265,GSM,334,3,19013,31672,0,-100.372467,25.672989,1000,2,1,1286818209,1287981604,0
2027266,GSM,334,3,19013,31671,0,-100.376358,25.678482000000002,1000,3,1,1286799909,1286799909,0
2027267,GSM,334,3,19013,8021,0,-100.37590026855,25.678482055664002,1000,1,1,1286799388,1286799388,0
2027270,GSM,334,3,16000,39581,0,-101.236409,19.667232000000002,4779,58,1,1286819491,1342054847,0
2027271,GSM,334,3,16000,39583,0,-101.26044499999999,19.643519,2174,19,1,1286819955,1340753721,0
2027272,GSM,334,20,2521,35229,0,-101.302798,19.590251000000002,4982,362,1,1286820186,1398391571,0
2027273,GSM,334,3,19000,8052,0,-100.408761,25.674068,1642,14,1,1286820610,1322569686,0
2027274,GSM,334,3,19000,31333,0,-100.43907165527,25.678482055664002,1000,1,1,1286801488,1286801488,0
2027275,GSM,334,3,16001,37021,0,-102.030029,19.428978,1000,4,1,1286825272,1299506090,0
2027276,GSM,334,3,14032,41,0,-103.339462,20.633698000000003,1000,4,1,1286830316,1311111310,0
2027284,GSM,334,20,2531,40937,0,-102.025222,19.770584,5058,3,1,1286833727,1288630518,0
2027285,GSM,334,3,14035,31032,0,-103.432846,20.658417,1000,2,1,1286834138,1295879125,0
